Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1
AP-066	66	RBD- S2P++ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/RBD-:Count
AP-066	66	b cells (excluding plasmablasts)	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+:Count
AP-066	66	IgD+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+:Count
AP-066	66	IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-:Count
AP-066	66	IgA+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+:Count
AP-066	66	RBD+ IgA+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/RBD+:Count
AP-066	66	RBD- IgA+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/RBD-:Count
AP-066	66	RBD+ S2P+ IgA+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/RBD+S2P+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/RBD+S2P+:Count
AP-066	66	S2P++ IgA+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/S2P++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/S2P++:Count
AP-066	66	RBD+ S2P++ IgA+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/S2P++/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/S2P++/RBD+:Count
AP-066	66	RBD- S2P++ IgA+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/S2P++/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/S2P++/RBD-:Count
AP-066	66	IgG+ IgD+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgD+IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgD+IgG+:Count
AP-066	66	IgM- IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-:Count
AP-066	66	RBD+ IgM- IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/RBD+:Count
AP-066	66	RBD- IgM- IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/RBD-:Count
AP-066	66	RBD+ S2P+ IgM- IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/RBD+S2P+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/RBD+S2P+:Count
AP-066	66	S2P++ IgM- IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/S2P++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/S2P++:Count
AP-066	66	RBD+ S2P++ IgM- IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/S2P++/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/S2P++/RBD+:Count
AP-066	66	RBD- S2P++ IgM- IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/S2P++/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgD- IgM-/S2P++/RBD-:Count
AP-066	66	AF488+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/AF488+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/AF488+:Count
AP-066	66	AF647+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/AF647+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/AF647+:Count
AP-066	66	CD27+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+:Count
AP-066	66	RBD+ CD27+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/RBD+:Count
AP-066	66	RBD- CD27+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/RBD-:Count
AP-066	66	RBD+ S2P+ CD27+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/RBD+S2P+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/RBD+S2P+:Count
AP-066	66	S2P++ CD27+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/S2P++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/S2P++:Count
AP-066	66	RBD+ S2P++ CD27+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/S2P++/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/S2P++/RBD+:Count
AP-066	66	RBD- S2P++ CD27+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/S2P++/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/S2P++/RBD-:Count
AP-066	66	IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+:Count
AP-066	66	PE+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/PE+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/PE+:Count
AP-066	66	RBD+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/RBD+:Count
AP-066	66	RBD- IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/RBD-:Count
AP-066	66	RBD+ S2P+ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/RBD+S2P+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/RBD+S2P+:Count
AP-066	66	S2P++ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/S2P++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/S2P++:Count
AP-066	66	RBD+ S2P++ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/S2P++/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/S2P++/RBD+:Count
AP-066	66	RBD- S2P++ IgG+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/S2P++/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/S2P++/RBD-:Count
AP-066	66	IgM+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+:Count
AP-066	66	IgM+ IgD+ (naÃ¯ve) b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgM naive:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgM naive:Count
AP-066	66	RBD+S2P+ IgM+ IgD+ (naÃ¯ve) b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgM naive/RBD+S2P+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgM naive/RBD+S2P+:Count
AP-066	66	S2P++ IgM+ IgD+ (naÃ¯ve) b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgM naive/S2P++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgM naive/S2P++:Count
AP-066	66	RBD+ S2P++IgM+ IgD+ (naÃ¯ve) b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgM naive/S2P++/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgM naive/S2P++/RBD+:Count
AP-066	66	RBD- S2P++ IgM+ IgD+ (naÃ¯ve) b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgM naive/S2P++/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgM naive/S2P++/RBD-:Count
AP-066	66	RBD+ IgM+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/RBD+:Count
AP-066	66	RBD- IgM+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/RBD-:Count
AP-066	66	RBD+ S2P+ IgM+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/RBD+S2P+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/RBD+S2P+:Count
AP-066	66	S2P++ IgM+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/S2P++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/S2P++:Count
AP-066	66	RBD+ S2P++ IgM+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/S2P++/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/S2P++/RBD+:Count
AP-066	66	RBD- S2P++ IgM+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/S2P++/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/S2P++/RBD-:Count
AP-066	66	RBD+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/RBD+:Count
AP-066	66	RBD- IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/RBD-:Count
AP-066	66	RBD+ S2P+ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/RBD+S2P+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/RBD+S2P+:Count
AP-066	66	S2P++ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/S2P++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/S2P++:Count
AP-066	66	RBD+ S2P++ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/S2P++/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/S2P++/RBD+:Count
AP-066	66	RBD- S2P++ IgD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/S2P++/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/S2P++/RBD-:Count
AP-066	66	RBD+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/RBD+:Count
AP-066	66	RBD- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/RBD-:Count
AP-066	66	RBD+ S2P+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/RBD+S2P+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/RBD+S2P+:Count
AP-066	66	S2P++ b cells/CD27+ CD21+	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/S2P++/CD27+CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/S2P++/CD27+CD21+:Count
AP-066	66	S2P++ b cells/CD27+ CD21-	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/S2P++/CD27+CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/S2P++/CD27+CD21-:Count
AP-066	66	S2P++ b cells/CD27- CD21+	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/S2P++/CD27-CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/S2P++/CD27-CD21+:Count
AP-066	66	S2P++ b cells/CD27- CD21-	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/S2P++/CD27-CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/S2P++/CD27-CD21-:Count
