AnalysisPlanSort	AnalysisPlanId	NAME1	STAT1																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-/IgA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-/IgA+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-/IgG+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-/IgG+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-/IgG+/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-/IgM+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/BG505++/IgD-/IgM+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21-:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21-:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgD+IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgD+IgG+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgMnaive:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgMnaive:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgMnaive/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD+/IgMnaive/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgA+/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgG+/CD27+/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/IgD-/IgM+/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD+/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD+/IgD+IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD+/IgD+IgG+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD+/IgMnaive:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD+/IgMnaive:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD-:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD-/IgA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD-/IgA+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD-/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD-/IgG+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD-/IgG+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD-/IgG+/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD-/IgM+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/BG505++/IgD-/IgM+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/BG505++/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/BG505++/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/BG505++/IgD+IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/BG505++/IgD+IgG+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/BG505++/IgMnaive:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/BG505++/IgMnaive:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD+/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/BG505++/IgA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/BG505++/IgA+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/BG505++/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/BG505++/IgG+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/BG505++/IgG+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/BG505++/IgG+/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/BG505++/IgM+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/BG505++/IgM+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/IgD-/CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67– CD27+ (Plasmablast):Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67– CD27+ (Plasmablast):Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67– CD27- (Plasmablast):Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67– CD27- (Plasmablast):Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67+ CD27+ (Plasmablast):Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67+ CD27+ (Plasmablast):Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67+ CD27- (Plasmablast):Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67+ CD27- (Plasmablast):Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD27+ CD38+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD27+ CD38+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD27+ CD38+/BG505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD27+ CD38+/BG505++:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD20+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD20+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD20-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD20-:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD27-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67+ CD27-:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD20+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD20+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD20-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD20-:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD27+:Count																																																																																							
AP-069	69	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD27-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/Ki-67- CD27-:Count																																																																																							
