analysisPlanSort	analysisPlanId	description	NAME1	STAT1	NAME2	STAT2	NAME3	STAT3	NAME4	STAT4	NAME5	STAT5	NAME6	STAT6	NAME7	STAT7	NAME8	STAT8	NAME9	STAT9	NAME10	STAT10
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg-IL2-TNFa-	S/Lv/L/3+/4+/(!IFNg+&!IL2+&!TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg-IL2-TNFa+	S/Lv/L/3+/4+/(!IFNg+&!IL2+&TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg-IL2+TNFa-	S/Lv/L/3+/4+/(!IFNg+&IL2+&!TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg-IL2+TNFa+	S/Lv/L/3+/4+/(!IFNg+&IL2+&TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg+IL2-TNFa-	S/Lv/L/3+/4+/(IFNg+&!IL2+&!TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg+IL2-TNFa+	S/Lv/L/3+/4+/(IFNg+&!IL2+&TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg+IL2+TNFa-	S/Lv/L/3+/4+/(IFNg+&IL2+&!TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg+IL2+TNFa+	S/Lv/L/3+/4+/(IFNg+&IL2+&TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg-IL2-TNFa-	S/Lv/L/3+/8+/(!IFNg+&!IL2+&!TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg-IL2-TNFa+	S/Lv/L/3+/8+/(!IFNg+&!IL2+&TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg-IL2+TNFa-	S/Lv/L/3+/8+/(!IFNg+&IL2+&!TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg-IL2+TNFa+	S/Lv/L/3+/8+/(!IFNg+&IL2+&TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg+IL2-TNFa-	S/Lv/L/3+/8+/(IFNg+&!IL2+&!TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg+IL2-TNFa+	S/Lv/L/3+/8+/(IFNg+&!IL2+&TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg+IL2+TNFa-	S/Lv/L/3+/8+/(IFNg+&IL2+&!TNFa+):Count								
AP-002	2	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (8-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg+IL2+TNFa+	S/Lv/L/3+/8+/(IFNg+&IL2+&TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg-IL2-TNFa-	S/Lv/L/3+/4+/(!IFNg+&!IL2+&!TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg-IL2-TNFa+	S/Lv/L/3+/4+/(!IFNg+&!IL2+&TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg-IL2+TNFa-	S/Lv/L/3+/4+/(!IFNg+&IL2+&!TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg-IL2+TNFa+	S/Lv/L/3+/4+/(!IFNg+&IL2+&TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg+IL2-TNFa-	S/Lv/L/3+/4+/(IFNg+&!IL2+&!TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg+IL2-TNFa+	S/Lv/L/3+/4+/(IFNg+&!IL2+&TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg+IL2+TNFa-	S/Lv/L/3+/4+/(IFNg+&IL2+&!TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD4+	S/Lv/L/3+/4+:Count	IFNg+IL2+TNFa+	S/Lv/L/3+/4+/(IFNg+&IL2+&TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg-IL2-TNFa-	S/Lv/L/3+/8+/(!IFNg+&!IL2+&!TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg-IL2-TNFa+	S/Lv/L/3+/8+/(!IFNg+&!IL2+&TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg-IL2+TNFa-	S/Lv/L/3+/8+/(!IFNg+&IL2+&!TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg-IL2+TNFa+	S/Lv/L/3+/8+/(!IFNg+&IL2+&TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg+IL2-TNFa-	S/Lv/L/3+/8+/(IFNg+&!IL2+&!TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg+IL2-TNFa+	S/Lv/L/3+/8+/(IFNg+&!IL2+&TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg+IL2+TNFa-	S/Lv/L/3+/8+/(IFNg+&IL2+&!TNFa+):Count								
AP-003	3	ICS three cytokine (IFNg, IL-2, TNFa) polyfunctionality (10-color)	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/3+:Count	CD8+	S/Lv/L/3+/8+:Count	IFNg+IL2+TNFa+	S/Lv/L/3+/8+/(IFNg+&IL2+&TNFa+):Count								
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-:Count	CCR5+	S/Lv/L/CD3+/CD4+/Ki67+BcL2-/CCR5+:Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-:Count	CCR7-CCR5-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-/(!CCR7+&!CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-:Count	CCR7-CCR5+	S/Lv/L/CD3+/CD4+/Ki67+BcL2-/(!CCR7+&CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-:Count	CCR7+CCR5-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-/(CCR7+&!CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-:Count	CCR7+CCR5+	S/Lv/L/CD3+/CD4+/Ki67+BcL2-/(CCR7+&CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-:Count	CD27-CCR5-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-/(!CCR7+&!CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-:Count	CD27-CCR5+	S/Lv/L/CD3+/CD4+/Ki67+BcL2-/(!CCR7+&CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-:Count	CD27+CCR5-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-/(CCR7+&!CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD4+/Ki67+BcL2-:Count	CD27+CCR5+	S/Lv/L/CD3+/CD4+/Ki67+BcL2-/(CCR7+&CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD8+	S/Lv/L/CD3+/CD8+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-:Count	CCR5+	S/Lv/L/CD3+/CD8+/Ki67+BcL2-/CCR5+:Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD8+	S/Lv/L/CD3+/CD8+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-:Count	CCR7-CCR5-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-/(!CCR7+&!CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD8+	S/Lv/L/CD3+/CD8+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-:Count	CCR7-CCR5+	S/Lv/L/CD3+/CD8+/Ki67+BcL2-/(!CCR7+&CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD8+	S/Lv/L/CD3+/CD8+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-:Count	CCR7+CCR5-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-/(CCR7+&!CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD8+	S/Lv/L/CD3+/CD8+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-:Count	CCR7+CCR5+	S/Lv/L/CD3+/CD8+/Ki67+BcL2-/(CCR7+&CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD8+	S/Lv/L/CD3+/CD8+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-:Count	CD27-CCR5-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-/(!CCR7+&!CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD8+	S/Lv/L/CD3+/CD8+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-:Count	CD27-CCR5+	S/Lv/L/CD3+/CD8+/Ki67+BcL2-/(!CCR7+&CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD8+	S/Lv/L/CD3+/CD8+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-:Count	CD27+CCR5-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-/(CCR7+&!CCR5+):Count						
AP-004	4	Activation Markers and CCR5	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD8+	S/Lv/L/CD3+/CD8+:Count	Ki67+BcL2-	S/Lv/L/CD3+/CD8+/Ki67+BcL2-:Count	CD27+CCR5+	S/Lv/L/CD3+/CD8+/Ki67+BcL2-/(CCR7+&CCR5+):Count						
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27-28-57-103-	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&!CD27+&!CD28+&!CD57+&!D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27-28-57-103+	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&!CD27+&!CD28+&!CD57+&D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27-28-57+103-	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&!CD27+&!CD28+&CD57+&!D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27-28-57+103+	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&!CD27+&!CD28+&CD57+&D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27-28+57-103-	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&!CD27+&CD28+&!CD57+&!D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27-28+57-103+	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&!CD27+&CD28+&!CD57+&D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27-28+57+103-	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&!CD27+&CD28+&CD57+&!D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27-28+57+103+	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&!CD27+&CD28+&CD57+&D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27+28-57-103-	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&CD27+&!CD28+&!CD57+&!D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27+28-57-103+	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&CD27+&!CD28+&!CD57+&D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27+28-57+103-	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&CD27+&!CD28+&CD57+&!D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27+28-57+103+	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&CD27+&!CD28+&CD57+&D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27+28+57-103-	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&CD27+&CD28+&!CD57+&!D103+):Count								
AP-006	6	11-color bulk memory phenotyping	Singlets	S:Count	Live	S/Lv:Count	Lymphocytes	S/Lv/L:Count	CD3+	S/Lv/L/CD3+:Count	CD4+	S/Lv/L/CD3+/CD4+:Count	RO-R5-R7-27+28+57-103+	S/Lv/L/CD3+/CD4+/(!45RO+&!CCR5+&!CCR7+&CD27+&CD28+&!CD57+&D103+):Count								
